user_id,item_id,category,gender,day,month
1,id_00001334-06_4,Blouses_Shirts,WOMEN,8,8
2,id_00002518-02_1,Denim,WOMEN,8,2
3,id_00004754-03_1,Pants,WOMEN,1,10
3,id_00004104-02_4,Tees_Tanks,WOMEN,6,10
3,id_00002831-01_7,Tees_Tanks,WOMEN,9,1
4,id_00007965-01_1,Dresses,WOMEN,23,11
4,id_00000958-04_4,Sweaters,WOMEN,3,11
4,id_00000828-05_2,Rompers_Jumpsuits,WOMEN,11,9
4,id_00005366-02_7,Sweaters,WOMEN,19,4
4,id_00005017-24_4,Tees_Tanks,WOMEN,9,10
5,id_00003539-05_1,Jackets_Coats,WOMEN,29,2
5,id_00003518-01_1,Skirts,WOMEN,18,7
5,id_00003939-01_4,Cardigans,WOMEN,17,6
6,id_00001756-04_4,Shorts,WOMEN,6,10
6,id_00001574-02_1,Pants,WOMEN,8,1
7,id_00002529-03_7,Dresses,WOMEN,10,2
7,id_00006103-12_4,Tees_Tanks,WOMEN,5,5
7,id_00001164-04_4,Dresses,WOMEN,11,1
7,id_00006037-03_4,Jackets_Coats,WOMEN,12,5
8,id_00005253-07_1,Sweaters,WOMEN,2,12
8,id_00005695-01_1,Blouses_Shirts,WOMEN,11,5
9,id_00001404-06_4,Shorts,WOMEN,23,3
9,id_00006430-02_1,Pants,WOMEN,14,4
9,id_00002671-01_1,Shorts,WOMEN,4,7
9,id_00006080-06_4,Sweaters,WOMEN,27,5
10,id_00005858-08_4,Tees_Tanks,MEN,4,10
10,id_00003461-01_7,Pants,MEN,23,11
10,id_00005680-01_1,Shorts,MEN,20,3
11,id_00007123-02_1,Jackets_Coats,WOMEN,2,1
12,id_00005530-01_4,Sweatshirts_Hoodies,WOMEN,3,2
12,id_00003790-07_4,Tees_Tanks,WOMEN,18,5
13,id_00007858-01_3,Dresses,WOMEN,28,2
13,id_00004680-08_7,Sweaters,WOMEN,21,6
14,id_00005702-10_4,Tees_Tanks,WOMEN,13,9
15,id_00007833-02_7,Rompers_Jumpsuits,WOMEN,26,8
15,id_00006546-13_7,Tees_Tanks,WOMEN,3,9
15,id_00005951-02_1,Sweaters,WOMEN,22,5
15,id_00001219-03_7,Blouses_Shirts,WOMEN,1,7
15,id_00000601-02_7,Dresses,WOMEN,29,6
16,id_00007017-05_1,Jackets_Coats,WOMEN,17,7
16,id_00003114-04_1,Tees_Tanks,WOMEN,6,10
17,id_00004503-02_3,Rompers_Jumpsuits,WOMEN,10,1
17,id_00006967-01_7,Jackets_Coats,WOMEN,13,11
17,id_00004556-02_7,Blouses_Shirts,WOMEN,14,2
18,id_00003880-03_4,Jackets_Coats,WOMEN,24,3
19,id_00002006-08_7,Pants,MEN,24,6
19,id_00003125-05_4,Shorts,MEN,19,12
20,id_00006707-08_4,Tees_Tanks,WOMEN,9,4
20,id_00007682-08_1,Pants,WOMEN,19,11
20,id_00003471-01_1,Dresses,WOMEN,23,6
20,id_00001840-04_4,Blouses_Shirts,WOMEN,9,8
20,id_00001999-02_1,Pants,WOMEN,19,9
21,id_00000460-01_1,Pants,WOMEN,18,4
21,id_00002852-03_1,Leggings,WOMEN,13,11
21,id_00007601-02_4,Tees_Tanks,WOMEN,27,10
21,id_00005555-02_4,Shorts,WOMEN,4,2
22,id_00003383-07_1,Tees_Tanks,WOMEN,2,12
22,id_00005118-03_1,Skirts,WOMEN,10,9
23,id_00000812-04_4,Shorts,WOMEN,22,8
23,id_00001288-02_7,Dresses,WOMEN,24,11
23,id_00004148-01_4,Shorts,WOMEN,22,1
23,id_00002289-02_1,Blouses_Shirts,WOMEN,6,4
23,id_00001614-04_4,Tees_Tanks,WOMEN,30,6
24,id_00001764-03_7,Tees_Tanks,WOMEN,6,12
25,id_00006863-49_4,Tees_Tanks,WOMEN,28,11
25,id_00003409-03_4,Blouses_Shirts,WOMEN,4,1
25,id_00002747-02_7,Tees_Tanks,WOMEN,25,8
26,id_00001150-01_1,Cardigans,WOMEN,9,3
27,id_00005930-02_1,Tees_Tanks,WOMEN,31,10
28,id_00006287-01_7,Tees_Tanks,MEN,14,10
28,id_00002603-08_7,Tees_Tanks,MEN,30,10
28,id_00004659-01_7,Shorts,MEN,10,9
28,id_00000094-02_7,Jackets_Vests,MEN,9,10
28,id_00001993-01_4,Sweaters,MEN,23,6
29,id_00007721-44_4,Tees_Tanks,WOMEN,15,11
30,id_00002381-04_4,Tees_Tanks,MEN,22,11
31,id_00005433-07_7,Tees_Tanks,WOMEN,5,5
31,id_00006947-03_4,Blouses_Shirts,WOMEN,5,8
31,id_00002265-02_1,Sweaters,WOMEN,24,2
32,id_00001837-03_7,Blouses_Shirts,WOMEN,2,6
33,id_00000314-02_4,Rompers_Jumpsuits,WOMEN,22,12
33,id_00001004-04_1,Rompers_Jumpsuits,WOMEN,13,7
34,id_00001289-02_4,Blouses_Shirts,WOMEN,23,5
34,id_00004682-03_4,Tees_Tanks,WOMEN,29,7
35,id_00001530-01_4,Blouses_Shirts,WOMEN,28,9
36,id_00003120-01_4,Blouses_Shirts,WOMEN,8,2
36,id_00001998-04_1,Pants,WOMEN,2,6
36,id_00002817-07_4,Dresses,WOMEN,14,1
37,id_00003979-01_4,Dresses,WOMEN,16,6
37,id_00007427-03_4,Rompers_Jumpsuits,WOMEN,17,2
37,id_00002389-02_1,Dresses,WOMEN,25,9
38,id_00006720-01_4,Dresses,WOMEN,2,11
38,id_00005479-01_4,Tees_Tanks,WOMEN,4,7
38,id_00005138-02_4,Shorts,WOMEN,15,5
38,id_00003862-05_4,Tees_Tanks,WOMEN,11,6
38,id_00007670-04_4,Tees_Tanks,WOMEN,3,4
39,id_00005522-01_4,Graphic_Tees,WOMEN,18,4
39,id_00004895-01_4,Skirts,WOMEN,10,2
39,id_00006953-03_4,Blouses_Shirts,WOMEN,21,5
39,id_00005017-23_1,Tees_Tanks,WOMEN,8,10
39,id_00007540-02_1,Dresses,WOMEN,10,2
40,id_00003343-14_4,Tees_Tanks,WOMEN,22,10
40,id_00000556-03_4,Blouses_Shirts,WOMEN,6,10
40,id_00005896-08_4,Tees_Tanks,WOMEN,9,10
40,id_00002261-04_1,Tees_Tanks,WOMEN,21,2
40,id_00005629-06_7,Jackets_Coats,WOMEN,21,1
41,id_00004819-02_3,Blouses_Shirts,WOMEN,3,8
41,id_00006687-07_3,Tees_Tanks,WOMEN,19,6
41,id_00007785-07_7,Dresses,WOMEN,27,1
42,id_00001961-04_2,Dresses,WOMEN,5,2
42,id_00000957-02_1,Rompers_Jumpsuits,WOMEN,28,10
43,id_00004268-02_1,Dresses,WOMEN,24,2
44,id_00003959-01_7,Tees_Tanks,WOMEN,22,1
44,id_00005893-06_7,Blouses_Shirts,WOMEN,3,7
44,id_00002121-05_4,Cardigans,WOMEN,24,2
44,id_00006506-05_7,Blouses_Shirts,WOMEN,29,10
45,id_00004879-04_4,Rompers_Jumpsuits,WOMEN,6,5
45,id_00005509-04_4,Dresses,WOMEN,27,3
